AAS,African-American Studies,education,"42.348490, -71.107858","42.348534, -71.107847","42.348552, -71.107968","42.348463, -71.107992","42.348437, -71.107809","42.348481, -71.107798",,,,,,
AGG,Agganis Arena,athletic,"42.352770, -71.118127","42.352812, -71.117603","42.352647, -71.117113","42.351664, -71.117318","42.351608, -71.117877","42.351788, -71.118357",,,,,,
BUT,BU Huntington Theater,education,"42.341966, -71.085572","42.341921, -71.085503","42.341907, -71.085518","42.341855, -71.085438","42.341833, -71.085465","42.341754, -71.085342","42.341594, -71.085531","42.341770, -71.085805",,,,
BSC,Biological Science Center,education,"42.348378, -71.101342","42.348172, -71.101405","42.348083, -71.100936","42.348300, -71.100888",,,,,,,,
CAS,College of Arts and Sciences,education,"42.350247, -71.106109","42.350435, -71.106051","42.350266, -71.104655","42.350554, -71.104594","42.350520, -71.104307","42.350233, -71.104370","42.350181, -71.103953","42.349992, -71.104014",,,,
CFA,College of Fine Arts,education,"42.351894, -71.114270","42.351500, -71.114358","42.351492, -71.114285","42.351158, -71.114355","42.351052, -71.113461","42.351427, -71.113393","42.351890, -71.114270",,,,,
CGS,College of General Studies,education,"42.351761, -71.114729","42.351709, -71.114312","42.351205, -71.114422","42.351257, -71.114837",,,,,,,,
CLF,Claflin Hall,residence,"42.352621, -71.119507","42.352396, -71.119553","42.352466, -71.120175","42.352690, -71.120142",,,,,,,,
CNS,Center for Computational Neuroscience,education,"42.348042, -71.098441","42.348293, -71.098569","42.348232, -71.098784","42.347982, -71.098652",,,,,,,,
COM,College of Communication,education,"42.349003, -71.102903","42.348814, -71.102933","42.348679, -71.101759","42.348858, -71.101727","42.348903, -71.102079","42.348947, -71.102069","42.348958, -71.102172","42.348915, -71.102184",,,,
CRCO,Charles River Campus Offices,services,"42.352203, -71.115452","42.352122, -71.114787","42.351698, -71.114878","42.351778, -71.115546",,,,,,,,
CRW,DeWolfe Boathouse,athletic,"42.353301, -71.107933","42.353349, -71.107931","42.353337, -71.107562","42.353288, -71.107563","42.353286, -71.107487","42.353179, -71.107489","42.353178, -71.107567","42.353149, -71.107566","42.353154, -71.107938","42.353194, -71.107936","42.353196, -71.108014","42.353303, -71.108009"
CSE,Case Physical Education Center,athletic,"42.354157, -71.120649","42.354079, -71.119961","42.353717, -71.120046","42.353724, -71.120208","42.353552, -71.120253","42.353568, -71.120407","42.353689, -71.120384","42.353727, -71.120731",,,,
EMB,Engineering Manufacturing Building,education,"42.349389, -71.106781","42.349535, -71.107674","42.349345, -71.107715","42.349210, -71.106853",,,,,,,,
EPC,Engineering Product Innovation Center,education,"42.349944, -71.107814","42.349575, -71.107896","42.349645, -71.108254","42.349984, -71.108175",,,,,,,,
ERB,Engineering Research Building,education,"42.348671, -71.103120","42.348506, -71.103173","42.348466, -71.102958","42.348438, -71.102954","42.348363, -71.102542","42.348566, -71.102484",,,,,,
FLR,Fuller Building,education,"42.350318, -71.111184","42.349837, -71.111286","42.349927, -71.112074","42.350017, -71.112156","42.350426, -71.112068",,,,,,,
FRC,Fitness and Recreation Center,athletic,"42.352368, -71.117055","42.352353, -71.116926","42.352289, -71.116937","42.352243, -71.116522","42.352002, -71.116580","42.351908, -71.115721","42.351376, -71.115848","42.351500, -71.116890","42.351538, -71.117253",,,
GSU,George Sherman Union,education,"42.351360, -71.109254","42.350642, -71.109380","42.350548, -71.108673","42.350765, -71.108616","42.350728, -71.108329","42.350622, -71.108348","42.350610, -71.108123","42.350787, -71.108089","42.350853, -71.108597","42.351143, -71.108527","42.351188, -71.108973","42.351278, -71.108958"
KCB,Kenmore Classroom Building,education,"42.349353, -71.097907","42.349590, -71.097852","42.349640, -71.098252","42.349241, -71.098344","42.349220, -71.098203","42.349384, -71.098165",,,,,,
LAW,School of Law,education,"42.351199, -71.107653","42.351053, -71.107687","42.351006, -71.107303","42.350901, -71.107332","42.350873, -71.107101","42.351257, -71.107017","42.351283, -71.107239","42.351153, -71.107273",,,,
LSE,Life Science and Engineering,education,"42.348288, -71.102112","42.348499, -71.102052","42.348378, -71.101342","42.348172, -71.101405",,,,,,,,
MAR,Marsh Chapel,education,"42.350499, -71.106403","42.350520, -71.106397","42.350515, -71.106368","42.350760, -71.106312","42.350761, -71.106334","42.350805, -71.106324","42.350822, -71.106462","42.350778, -71.106471","42.350783, -71.106505","42.350537, -71.106566","42.350535, -71.106526","42.350516, -71.106530"
